G1_large,HybridRandomEdgeTemporal,4,Final Runtime: 2336ms
G1_large,HybridRandomEdgeTemporal,5,Final Runtime: 2014ms
G1_large,Hybrid2DTemporal,1,Final Runtime: 2080ms
G1_large,Hybrid2DTemporal,2,Final Runtime: 2324ms
G1_large,Hybrid2DTemporal,3,Final Runtime: 2154ms
G1_large,Hybrid2DTemporal,4,Final Runtime: 2217ms
G1_large,Hybrid2DTemporal,5,Final Runtime: 2107ms
G1_large,Hybrid2DEdgeTemporal,1,Final Runtime: 2017ms
G1_large,Hybrid2DEdgeTemporal,2,Final Runtime: 2027ms
G1_large,Hybrid2DEdgeTemporal,3,Final Runtime: 2199ms
G1_large,Hybrid2DEdgeTemporal,4,Final Runtime: 1994ms
G1_large,Hybrid2DEdgeTemporal,5,Final Runtime: 1973ms
G2_U,CanonicalRandomVertexCut,1,Final Runtime: 3267ms
G2_U,CanonicalRandomVertexCut,2,Final Runtime: 2587ms
G2_U,CanonicalRandomVertexCut,3,Final Runtime: 2690ms
G2_U,CanonicalRandomVertexCut,4,Final Runtime: 3398ms
G2_U,CanonicalRandomVertexCut,5,Final Runtime: 4050ms
G2_U,EdgePartition2D,1,Final Runtime: 3054ms
G2_U,EdgePartition2D,2,Final Runtime: 3488ms
G2_U,EdgePartition2D,3,Final Runtime: 2703ms
G2_U,EdgePartition2D,4,Final Runtime: 2970ms
G2_U,EdgePartition2D,5,Final Runtime: 2962ms
G2_U,NaiveTemporal,1,Final Runtime: 2745ms
G2_U,NaiveTemporal,2,Final Runtime: 2806ms
G2_U,NaiveTemporal,3,Final Runtime: 2665ms
G2_U,NaiveTemporal,4,Final Runtime: 3135ms
G2_U,NaiveTemporal,5,Final Runtime: 2876ms
G2_U,NaiveTemporalEdge,1,Final Runtime: 2753ms
G2_U,NaiveTemporalEdge,2,Final Runtime: 3062ms
G2_U,NaiveTemporalEdge,3,Final Runtime: 2877ms
G2_U,NaiveTemporalEdge,4,Final Runtime: 3029ms
G2_U,NaiveTemporalEdge,5,Final Runtime: 2793ms
G2_U,ConsecutiveTemporal,1,Final Runtime: 2982ms
G2_U,ConsecutiveTemporal,2,Final Runtime: 3232ms
G2_U,ConsecutiveTemporal,3,Final Runtime: 2697ms
G2_U,ConsecutiveTemporal,4,Final Runtime: 2699ms
G2_U,ConsecutiveTemporal,5,Final Runtime: 2322ms
G2_U,ConsecutiveTemporalEdge,1,Final Runtime: 2373ms
G2_U,ConsecutiveTemporalEdge,2,Final Runtime: 2419ms
G2_U,ConsecutiveTemporalEdge,3,Final Runtime: 2448ms
G2_U,ConsecutiveTemporalEdge,4,Final Runtime: 2295ms
G2_U,ConsecutiveTemporalEdge,5,Final Runtime: 2357ms
G2_U,HybridRandomTemporal,1,Final Runtime: 2319ms
G2_U,HybridRandomTemporal,2,Final Runtime: 2221ms
G2_U,HybridRandomTemporal,3,Final Runtime: 2483ms
G2_U,HybridRandomTemporal,4,Final Runtime: 2485ms
G2_U,HybridRandomTemporal,5,Final Runtime: 2936ms
G2_U,HybridRandomEdgeTemporal,1,Final Runtime: 2557ms
G2_U,HybridRandomEdgeTemporal,2,Final Runtime: 2875ms
G2_U,HybridRandomEdgeTemporal,3,Final Runtime: 2203ms
G2_U,HybridRandomEdgeTemporal,4,Final Runtime: 2299ms
G2_U,HybridRandomEdgeTemporal,5,Final Runtime: 2178ms
G2_U,Hybrid2DTemporal,1,Final Runtime: 2661ms
G2_U,Hybrid2DTemporal,2,Final Runtime: 2601ms
G2_U,Hybrid2DTemporal,3,Final Runtime: 3519ms
G2_U,Hybrid2DTemporal,4,Final Runtime: 2239ms
G2_U,Hybrid2DTemporal,5,Final Runtime: 2173ms
G2_U,Hybrid2DEdgeTemporal,1,Final Runtime: 2098ms
G2_U,Hybrid2DEdgeTemporal,2,Final Runtime: 2206ms
G2_U,Hybrid2DEdgeTemporal,3,Final Runtime: 2075ms
G2_U,Hybrid2DEdgeTemporal,4,Final Runtime: 2501ms
G2_U,Hybrid2DEdgeTemporal,5,Final Runtime: 2357ms
G2_E,CanonicalRandomVertexCut,1,Final Runtime: 1503ms
G2_E,CanonicalRandomVertexCut,2,Final Runtime: 1441ms
G2_E,CanonicalRandomVertexCut,3,Final Runtime: 1576ms
G2_E,CanonicalRandomVertexCut,4,Final Runtime: 1496ms
G2_E,CanonicalRandomVertexCut,5,Final Runtime: 1582ms
G2_E,EdgePartition2D,1,Final Runtime: 1580ms
G2_E,EdgePartition2D,2,Final Runtime: 1508ms
G2_E,EdgePartition2D,3,Final Runtime: 1424ms
G2_E,EdgePartition2D,4,Final Runtime: 1548ms
G2_E,EdgePartition2D,5,Final Runtime: 1510ms
G2_E,NaiveTemporal,1,Final Runtime: 1596ms
G2_E,NaiveTemporal,2,Final Runtime: 1436ms
G2_E,NaiveTemporal,3,Final Runtime: 1501ms
G2_E,NaiveTemporal,4,Final Runtime: 1407ms
G2_E,NaiveTemporal,5,Final Runtime: 1627ms
G2_E,NaiveTemporalEdge,1,Final Runtime: 1541ms
G2_E,NaiveTemporalEdge,2,Final Runtime: 1562ms
G2_E,NaiveTemporalEdge,3,Final Runtime: 1580ms
G2_E,NaiveTemporalEdge,4,Final Runtime: 1548ms
G2_E,NaiveTemporalEdge,5,Final Runtime: 1574ms
G2_E,ConsecutiveTemporal,1,Final Runtime: 1551ms
G2_E,ConsecutiveTemporal,2,Final Runtime: 1571ms
G2_E,ConsecutiveTemporal,3,Final Runtime: 1412ms
G2_E,ConsecutiveTemporal,4,Final Runtime: 1599ms
G2_E,ConsecutiveTemporal,5,Final Runtime: 1627ms
G2_E,ConsecutiveTemporalEdge,1,Final Runtime: 1570ms
G2_E,ConsecutiveTemporalEdge,2,Final Runtime: 1515ms
G2_E,ConsecutiveTemporalEdge,3,Final Runtime: 1752ms
G2_E,ConsecutiveTemporalEdge,4,Final Runtime: 1578ms
